Date,Open,High,Low,Close,Adj Close,Volume
8-Apr-20,554.2,557.21,533.33,548.84,548.84,"12,656,000"
7-Apr-20,545,565,532.34,545.45,545.45,"17,919,800"
6-Apr-20,511.2,521,497.96,516.24,516.24,"14,901,800"
3-Apr-20,509.5,515.49,468.39,480.01,480.01,"22,562,100"
2-Apr-20,481.03,494.26,446.4,454.47,454.47,"19,858,400"
1-Apr-20,504,513.95,475.1,481.56,481.56,"13,353,200"
31-Mar-20,501.25,542.96,497,524,524,"17,771,500"
30-Mar-20,510.26,516.65,491.23,502.13,502.13,"11,998,100"
27-Mar-20,505,525.8,494.03,514.36,514.36,"14,377,400"
26-Mar-20,547.39,560,512.25,528.16,528.16,"17,380,700"
25-Mar-20,545.25,557,511.11,539.25,539.25,"21,222,700"
24-Mar-20,477.3,513.69,474,505,505,"22,895,200"
23-Mar-20,433.6,442,410.5,434.29,434.29,"16,454,500"
20-Mar-20,438.2,477,425.79,427.53,427.53,"28,285,500"
19-Mar-20,374.7,452,358.46,427.64,427.64,"30,195,500"
18-Mar-20,389,404.86,350.51,361.22,361.22,"23,786,200"
17-Mar-20,440.01,471.85,396,430.2,430.2,"23,994,600"
16-Mar-20,469.5,494.87,442.17,445.07,445.07,"20,489,500"
13-Mar-20,595,607.57,502,546.62,546.62,"22,640,300"
12-Mar-20,580.89,594.5,546.25,560.55,560.55,"18,909,100"
11-Mar-20,640.2,653.58,613,634.23,634.23,"13,322,500"
10-Mar-20,659.43,668,608,645.33,645.33,"15,594,400"
9-Mar-20,605.39,663,605,608,608,"17,073,700"
6-Mar-20,690,707,684.27,703.48,703.48,"12,662,900"
5-Mar-20,723.77,745.75,718.07,724.54,724.54,"10,852,700"
4-Mar-20,763.96,766.52,724.73,749.5,749.5,"15,049,000"
3-Mar-20,805,806.98,716.11,745.51,745.51,"25,784,000"
2-Mar-20,711.26,743.69,686.67,743.62,743.62,"20,195,000"
28-Feb-20,629.7,690.52,611.52,667.99,667.99,"24,564,200"
27-Feb-20,730,739.77,669,679,679,"24,149,300"
26-Feb-20,782.5,813.31,776.11,778.8,778.8,"14,085,500"
25-Feb-20,849,856.6,787,799.91,799.91,"17,290,500"
24-Feb-20,839,863.5,822.2,833.79,833.79,"15,192,200"
21-Feb-20,906.98,913.06,880.45,901,901,"14,314,800"
20-Feb-20,911.95,912,859.94,899.41,899.41,"17,574,900"
19-Feb-20,923.5,944.78,901.02,917.42,917.42,"25,423,000"
18-Feb-20,841.6,860,832.36,858.4,858.4,"16,381,700"
14-Feb-20,787.22,812.97,785.5,800.03,800.03,"15,693,700"
13-Feb-20,741.84,818,735,804,804,"26,289,300"
12-Feb-20,777.87,789.75,763.37,767.29,767.29,"12,022,500"
11-Feb-20,768.79,783.51,758,774.38,774.38,"11,697,500"
10-Feb-20,800,819.99,752.4,771.28,771.28,"24,689,200"
7-Feb-20,730.55,769.75,730,748.07,748.07,"17,063,500"
6-Feb-20,699.92,795.83,687,748.96,748.96,"39,880,800"
5-Feb-20,823.26,845.98,704.11,734.7,734.7,"48,423,800"
4-Feb-20,882.96,968.99,833.88,887.06,887.06,"60,938,800"
3-Feb-20,673.69,786.14,673.52,780,780,"47,233,500"
31-Jan-20,640,653,632.52,650.57,650.57,"15,719,300"
30-Jan-20,632.42,650.88,618,640.81,640.81,"29,005,700"
29-Jan-20,575.69,589.8,567.43,580.99,580.99,"17,801,500"
28-Jan-20,568.49,576.81,558.08,566.9,566.9,"11,788,500"
27-Jan-20,541.99,564.44,539.28,558.02,558.02,"13,608,100"
24-Jan-20,570.63,573.86,554.26,564.82,564.82,"14,353,600"
23-Jan-20,564.25,582,555.6,572.2,572.2,"19,651,000"
22-Jan-20,571.89,594.5,559.1,569.56,569.56,"31,369,000"
21-Jan-20,530.25,548.58,528.41,547.2,547.2,"17,803,500"
17-Jan-20,507.61,515.67,503.16,510.5,510.5,"13,629,100"
16-Jan-20,493.75,514.46,492.17,513.49,513.49,"21,736,700"
15-Jan-20,529.76,537.84,516.79,518.5,518.5,"17,368,800"
14-Jan-20,544.26,547.41,524.9,537.92,537.92,"28,996,200"
13-Jan-20,493.5,525.63,492,524.86,524.86,"26,517,600"
10-Jan-20,481.79,484.94,473.7,478.15,478.15,"12,959,500"
9-Jan-20,497.1,498.8,472.87,481.34,481.34,"28,440,400"
