Date,Open,High,Low,Close,Adj Close,Volume
20-Mar-20,"1,135.72","1,143.99","1,065.49","1,072.32","1,072.32","3,601,800"
19-Mar-20,"1,093.05","1,157.97","1,060.11","1,115.29","1,115.29","3,651,100"
18-Mar-20,"1,056.51","1,106.50","1,037.28","1,096.80","1,096.80","4,233,400"
17-Mar-20,"1,093.11","1,130.86","1,056.01","1,119.80","1,119.80","3,861,500"
16-Mar-20,"1,096.00","1,152.27","1,074.44","1,084.33","1,084.33","4,252,400"
13-Mar-20,"1,179.00","1,219.76","1,117.14","1,219.73","1,219.73","3,700,100"
12-Mar-20,"1,126.00","1,193.87","1,113.30","1,114.91","1,114.91","4,226,700"
11-Mar-20,"1,249.70","1,260.96","1,196.07","1,215.41","1,215.41","2,608,500"
10-Mar-20,"1,260.00","1,281.15","1,218.77","1,280.39","1,280.39","2,611,400"
9-Mar-20,"1,205.30","1,254.76","1,200.00","1,215.56","1,215.56","3,365,400"
6-Mar-20,"1,277.06","1,306.22","1,261.05","1,298.41","1,298.41","2,660,600"
5-Mar-20,"1,350.20","1,358.91","1,305.10","1,319.04","1,319.04","2,561,300"
4-Mar-20,"1,359.23","1,388.09","1,343.11","1,386.52","1,386.52","1,913,300"
3-Mar-20,"1,399.42","1,410.15","1,332.00","1,341.39","1,341.39","2,402,300"
2-Mar-20,"1,351.61","1,390.87","1,326.81","1,389.11","1,389.11","2,431,500"
28-Feb-20,"1,277.50","1,341.14","1,271.00","1,339.33","1,339.33","3,790,600"
27-Feb-20,"1,362.06","1,371.70","1,317.17","1,318.09","1,318.09","2,971,100"
26-Feb-20,"1,396.14","1,415.70","1,379.00","1,393.18","1,393.18","2,202,400"
25-Feb-20,"1,433.00","1,438.14","1,382.40","1,388.45","1,388.45","2,478,300"
24-Feb-20,"1,426.11","1,436.97","1,411.39","1,421.59","1,421.59","2,867,100"
21-Feb-20,"1,508.03","1,512.21","1,480.44","1,485.11","1,485.11","1,731,700"
20-Feb-20,"1,522.00","1,529.64","1,506.82","1,518.15","1,518.15","1,094,500"
19-Feb-20,"1,525.07","1,532.11","1,521.40","1,526.69","1,526.69","949,300"
18-Feb-20,"1,515.00","1,531.63","1,512.59","1,519.67","1,519.67","1,120,700"
14-Feb-20,"1,515.60","1,520.74","1,507.34","1,520.74","1,520.74","1,197,800"
13-Feb-20,"1,512.69","1,527.18","1,504.60","1,514.66","1,514.66","929,500"
12-Feb-20,"1,514.48","1,520.69","1,508.11","1,518.27","1,518.27","1,167,600"
11-Feb-20,"1,511.81","1,529.63","1,505.64","1,508.79","1,508.79","1,344,600"
10-Feb-20,"1,474.32","1,509.50","1,474.32","1,508.68","1,508.68","1,419,900"
7-Feb-20,"1,467.30","1,485.84","1,466.35","1,479.23","1,479.23","1,172,300"
6-Feb-20,"1,450.33","1,482.00","1,449.57","1,476.23","1,476.23","1,679,400"
5-Feb-20,"1,462.42","1,463.84","1,430.56","1,448.23","1,448.23","1,986,200"
4-Feb-20,"1,457.07","1,469.50","1,426.30","1,447.07","1,447.07","3,933,000"
3-Feb-20,"1,462.00","1,490.00","1,458.99","1,485.94","1,485.94","3,055,200"
31-Jan-20,"1,468.90","1,470.13","1,428.53","1,434.23","1,434.23","2,417,200"
30-Jan-20,"1,439.96","1,457.28","1,436.40","1,455.84","1,455.84","1,339,400"
29-Jan-20,"1,458.80","1,465.43","1,446.74","1,458.63","1,458.63","1,077,700"
28-Jan-20,"1,443.00","1,456.00","1,432.47","1,452.56","1,452.56","1,577,400"
27-Jan-20,"1,431.00","1,438.07","1,421.20","1,433.90","1,433.90","1,755,200"
24-Jan-20,"1,493.59","1,495.49","1,465.25","1,466.71","1,466.71","1,784,600"
23-Jan-20,"1,487.64","1,495.52","1,482.10","1,486.65","1,486.65","1,351,200"
22-Jan-20,"1,491.00","1,503.21","1,484.93","1,485.95","1,485.95","1,610,800"
21-Jan-20,"1,479.12","1,491.85","1,471.20","1,484.40","1,484.40","2,036,700"
17-Jan-20,"1,462.91","1,481.30","1,458.22","1,480.39","1,480.39","2,396,200"
16-Jan-20,"1,447.44","1,451.99","1,440.92","1,451.70","1,451.70","1,173,700"
15-Jan-20,"1,430.21","1,441.40","1,430.21","1,439.20","1,439.20","1,282,700"
14-Jan-20,"1,439.01","1,441.80","1,428.37","1,430.88","1,430.88","1,558,900"
13-Jan-20,"1,436.13","1,440.52","1,426.02","1,439.23","1,439.23","1,652,300"
10-Jan-20,"1,427.56","1,434.93","1,418.35","1,429.73","1,429.73","1,820,700"
9-Jan-20,"1,420.57","1,427.33","1,410.27","1,419.83","1,419.83","1,500,900"
