Date,Open,High,Low,Close,Adj Close,Volume
14-May-20,304.51,309.79,301.53,309.54,308.98,"39,732,300"
13-May-20,312.15,315.95,303.21,307.65,307.1,"50,155,600"
12-May-20,317.83,319.69,310.91,311.41,310.85,"40,575,300"
11-May-20,308.1,317.05,307.24,315.01,314.44,"36,405,900"
8-May-20,305.64,310.35,304.29,310.13,309.57,"33,512,000"
8-May-20,0.82 Dividend,,,,,
7-May-20,303.22,305.17,301.97,303.74,302.37,"28,803,800"
6-May-20,300.46,303.24,298.87,300.63,299.28,"35,583,400"
5-May-20,295.06,301,294.46,297.56,296.22,"36,937,800"
4-May-20,289.17,293.69,286.32,293.16,291.84,"33,392,000"
1-May-20,286.25,299,285.85,289.07,287.77,"60,154,200"
30-Apr-20,289.96,294.53,288.35,293.8,292.48,"45,457,600"
29-Apr-20,284.73,289.67,283.89,287.73,286.44,"34,320,200"
28-Apr-20,285.08,285.83,278.2,278.58,277.33,"28,001,200"
27-Apr-20,281.8,284.54,279.95,283.17,281.9,"29,271,900"
24-Apr-20,277.2,283.01,277,282.97,281.7,"31,627,200"
23-Apr-20,275.87,281.75,274.87,275.03,273.79,"31,203,600"
22-Apr-20,273.61,277.9,272.2,276.1,274.86,"29,264,300"
21-Apr-20,276.28,277.25,265.43,268.37,267.16,"45,247,900"
20-Apr-20,277.95,281.68,276.85,276.93,275.69,"32,503,800"
17-Apr-20,284.69,286.95,276.86,282.8,281.53,"53,812,500"
16-Apr-20,287.38,288.2,282.35,286.69,285.4,"39,281,300"
15-Apr-20,282.4,286.33,280.63,284.43,283.15,"32,788,600"
14-Apr-20,280,288.25,278.05,287.05,285.76,"48,748,700"
13-Apr-20,268.31,273.7,265.83,273.25,272.02,"32,755,700"
9-Apr-20,268.7,270.07,264.7,267.99,266.79,"40,529,100"
8-Apr-20,262.74,267.37,261.23,266.07,264.87,"42,223,800"
7-Apr-20,270.8,271.7,259,259.43,258.26,"50,721,800"
6-Apr-20,250.9,263.11,249.38,262.47,261.29,"50,455,100"
3-Apr-20,242.8,245.7,238.97,241.41,240.32,"32,470,000"
2-Apr-20,240.34,245.15,236.9,244.93,243.83,"41,483,500"
1-Apr-20,246.5,248.72,239.13,240.91,239.83,"44,054,600"
31-Mar-20,255.6,262.49,252,254.29,253.15,"49,250,500"
30-Mar-20,250.74,255.52,249.4,254.81,253.66,"41,994,100"
27-Mar-20,252.75,255.87,247.05,247.74,246.63,"51,054,200"
26-Mar-20,246.52,258.68,246.36,258.44,257.28,"63,021,800"
25-Mar-20,250.75,258.25,244.3,245.52,244.42,"75,900,500"
24-Mar-20,236.36,247.69,234.3,246.88,245.77,"71,882,800"
23-Mar-20,228.08,228.5,212.61,224.37,223.36,"84,188,200"
20-Mar-20,247.18,251.83,228,229.24,228.21,"100,423,300"
19-Mar-20,247.39,252.84,242.61,244.78,243.68,"67,964,300"
18-Mar-20,239.77,250,237.12,246.67,245.56,"75,058,400"
17-Mar-20,247.51,257.61,238.4,252.86,251.72,"81,014,000"
16-Mar-20,241.95,259.08,240,242.21,241.12,"80,605,900"
13-Mar-20,264.89,279.92,252.95,277.97,276.72,"92,683,000"
12-Mar-20,255.94,270,248,248.23,247.11,"104,618,500"
11-Mar-20,277.39,281.22,271.86,275.43,274.19,"63,899,700"
10-Mar-20,277.14,286.44,269.37,285.34,284.06,"71,322,500"
9-Mar-20,263.75,278.09,263,266.17,264.97,"71,686,200"
6-Mar-20,282,290.82,281.23,289.03,287.73,"56,544,200"
5-Mar-20,295.52,299.55,291.41,292.92,291.6,"46,893,200"
4-Mar-20,296.44,303.4,293.13,302.74,301.38,"54,794,600"
3-Mar-20,303.67,304,285.8,289.32,288.02,"79,868,900"
